id,title,url,images,type,brand,display,year,price,time_changed
4906,Alienware Alpha R2 Intel Core i7 6th Gen,alpha-r2-intel-core-i7-6th-gen,alienware-alpha-r2-intel-core-i7-6th-gen.webp,desktop,Alienware,1,2016,85,2023-06-24 13:29:34
4907,Alienware Alpha R2 Intel Core i5 6th Gen,alpha-r2-intel-core-i5-6th-gen,alienware-alpha-r2-intel-core-i5-6th-gen.webp,desktop,Alienware,1,2016,55,2023-01-09 02:51:02
4908,Alienware Alpha R2 Intel Core i3 6th Gen,alpha-r2-intel-core-i3-6th-gen,alienware-alpha-r2-intel-core-i3-6th-gen.webp,desktop,Alienware,1,2016,40,2023-01-09 02:51:00
4909,Alienware Aurora R5 Intel Core i7 6th Gen NO GPU,aurora-r5-intel-core-i7-6th-gen-no-gpu,alienware-aurora-r5-intel-core-i7-6th-gen-no-gpu.webp,desktop,Alienware,1,2016,45,2023-06-25 04:37:29
4910,Alienware Aurora R5 Intel Core i5 6th Gen Nvidia GTX,aurora-r5-intel-core-i5-6th-gen-nvidia-gtx,alienware-aurora-r5-intel-core-i5-6th-gen-nvidia-gtx.webp,desktop,Alienware,1,2016,45,2023-01-03 03:30:03
4911,Alienware Aurora R5 Intel Core i5 6th Gen NO GPU,aurora-r5-intel-core-i5-6th-gen-no-gpu,alienware-aurora-r5-intel-core-i5-6th-gen-no-gpu.webp,desktop,Alienware,1,2016,30,2023-06-25 04:32:41
4912,Alienware Aurora R5 Intel Core i7 6th Gen Nvidia GTX,aurora-r5-intel-core-i7-6th-gen-nvidia-gtx,alienware-aurora-r5-intel-core-i7-6th-gen-nvidia-gtx.webp,desktop,Alienware,1,2017,60,2023-06-25 04:38:01
4913,Alienware Aurora R6 Intel Core i5 7th Gen NO GPU,aurora-r6-intel-core-i5-7th-gen-no-gpu,alienware-aurora-r6-intel-core-i5-7th-gen-no-gpu.webp,desktop,Alienware,1,2017,30,2023-06-25 04:38:12
4914,Alienware Aurora R6 Intel Core i5 7th Gen Nvidia GTX,aurora-r6-intel-core-i5-7th-gen-nvidia-gtx,alienware-aurora-r6-intel-core-i5-7th-gen-nvidia-gtx.webp,desktop,Alienware,1,2017,55,2023-06-25 04:38:22
4915,Alienware Aurora R7 Intel Core i5 8th Gen Nvidia GTX,aurora-r7-intel-core-i5-8th-gen-nvidia-gtx,alienware-aurora-r7-intel-core-i5-8th-gen-nvidia-gtx.webp,desktop,Alienware,1,2018,55,2023-06-25 04:51:33
4916,Alienware Aurora R7 Intel Core i5 8th Gen NO GPU,aurora-r7-intel-core-i5-8th-gen-no-gpu,alienware-aurora-r7-intel-core-i5-8th-gen-no-gpu.webp,desktop,Alienware,1,2018,30,2023-06-25 04:50:27
4917,Alienware Aurora R8 Intel Core i5 9th Gen NO GPU,aurora-r8-intel-core-i5-9th-gen-no-gpu,alienware-aurora-r8-intel-core-i5-9th-gen-no-gpu.webp,desktop,Alienware,1,2019,40,2023-06-25 04:52:51
4918,Alienware Aurora R8 Intel Core i5 9th Gen Nvidia GTX,aurora-r8-intel-core-i5-9th-gen-nvidia-gtx,alienware-aurora-r8-intel-core-i5-9th-gen-nvidia-gtx.webp,desktop,Alienware,1,2019,65,2023-06-25 04:53:40
4919,Alienware Aurora R8 Intel Core i7 9th Gen NO GPU,aurora-r8-intel-core-i7-9th-gen-no-gpu,alienware-aurora-r8-intel-core-i7-9th-gen-no-gpu.webp,desktop,Alienware,1,2019,60,2023-06-25 04:53:48
4920,Alienware Aurora R9 Intel Core i7 9th Gen NO GPU,aurora-r9-intel-core-i7-9th-gen-no-gpu,alienware-aurora-r9-intel-core-i7-9th-gen-no-gpu.webp,desktop,Alienware,1,2019,60,2023-06-25 05:04:56
4921,Alienware Aurora R9 Intel Core i5 9th Gen Nvidia GTX,aurora-r9-intel-core-i5-9th-gen-nvidia-gtx,alienware-aurora-r9-intel-core-i5-9th-gen-nvidia-gtx.webp,desktop,Alienware,1,2019,70,2023-06-25 05:04:48
4922,Alienware Aurora R9 Intel Core i5 9th Gen NO GPU,aurora-r9-intel-core-i5-9th-gen-no-gpu,alienware-aurora-r9-intel-core-i5-9th-gen-no-gpu.webp,desktop,Alienware,1,2019,40,2023-06-25 04:59:28
4926,Alienware Area 51 R2 Intel Core i7 6th Gen,area-51-r2-intel-core-i7-6th-gen,alienware-area-51-r2-intel-core-i7-6th-gen.webp,desktop,Alienware,1,2016,90,2023-06-24 13:34:16
4927,Alienware Area 51 R3 Intel Core i7 6th Gen,area-51-r3-intel-core-i7-6th-gen,alienware-area-51-r3-intel-core-i7-6th-gen.webp,desktop,Alienware,1,2016,90,2023-06-24 13:36:24
4928,Alienware Area 51 R4 Intel Core i7 7th Gen,area-51-r4-intel-core-i7-7th-gen,alienware-area-51-r4-intel-core-i7-7th-gen.webp,desktop,Alienware,1,2017,105,2023-06-24 13:36:31
4929,Alienware Area 51 R4 Intel Core i9 7th Gen,area-51-r4-intel-core-i9-7th-gen,alienware-area-51-r4-intel-core-i9-7th-gen.webp,desktop,Alienware,1,2017,155,2023-06-24 13:36:56
4930,Alienware Area 51 R5 Intel Core i7 7th Gen,area-51-r5-intel-core-i7-7th-gen,alienware-area-51-r5-intel-core-i7-7th-gen.webp,desktop,Alienware,1,2017,105,2023-06-24 13:36:36
4931,Alienware Area 51 R5 Intel Core i9 7th Gen,area-51-r5-intel-core-i9-7th-gen,alienware-area-51-r5-intel-core-i9-7th-gen.webp,desktop,Alienware,1,2017,155,2023-06-24 13:37:04
4947,Alienware x51 R3 Intel Core i5 6th Gen,x51-r3-intel-core-i5-6th-gen,alienware-x51-r3-intel-core-i5-6th-gen.webp,desktop,Alienware,1,2016,30,2023-06-25 05:09:27
4948,Alienware x51 R3 Intel Core i7 6th Gen,x51-r3-intel-core-i7-6th-gen,alienware-x51-r3-intel-core-i7-6th-gen.webp,desktop,Alienware,1,2016,50,2023-06-25 05:09:54
4977,Dell G5 5090 Intel Core i3 9th Gen,g5-5090-intel-core-i3-9th-gen,dell-g5-5090-intel-core-i3-9th-gen.webp,desktop,Dell,1,2019,35,2023-07-10 02:10:40
12326,Dell G5 5090 Intel Core i7 10th Gen,g5-5090-intel-core-i7-10th-gen,dell-g5-5090-intel-core-i7-10th-gen.webp,desktop,Dell,1,2020,80,2023-07-10 02:13:01
4978,Dell G5 5090 Intel Core i5 9th Gen,g5-5090-intel-core-i5-9th-gen,dell-g5-5090-intel-core-i5-9th-gen.webp,desktop,Dell,1,2019,55,2023-07-10 02:10:37
4979,Dell G5 5090 Intel Core i7 9th Gen,g5-5090-intel-core-i7-9th-gen,dell-g5-5090-intel-core-i7-9th-gen.webp,desktop,Dell,1,2019,65,2023-07-10 02:10:34
4980,Dell G5 5090 Intel Core i9 9th Gen,g5-5090-intel-core-i9-9th-gen,dell-g5-5090-intel-core-i9-9th-gen.webp,desktop,Dell,1,2020,80,2023-07-10 02:10:30
4986,Dell Inspiron 3268 Intel Core i7 7th Gen,inspiron-3268-intel-core-i7-7th-gen,dell-inspiron-3268-intel-core-i7-7th-gen.webp,desktop,Dell,1,2017,25,2023-06-27 03:15:47
4987,Dell Inspiron 3471 Intel Core i5 9th Gen,inspiron-3471-intel-core-i5-9th-gen,dell-inspiron-3471-intel-core-i5-9th-gen.webp,desktop,Dell,1,2019,30,2023-06-27 03:16:08
4992,Dell Inspiron 3650 Intel Core i7 6th Gen,inspiron-3650-intel-core-i7-6th-gen,dell-inspiron-3650-intel-core-i7-6th-gen.webp,desktop,Dell,1,2016,25,2023-06-27 03:16:27
4994,Dell Inspiron 3668 Intel Core i5 7th Gen,inspiron-3668-intel-core-i5-7th-gen,dell-inspiron-3668-intel-core-i5-7th-gen.webp,desktop,Dell,1,2017,25,2023-01-13 04:18:00
4995,Dell Inspiron 3668 Intel Core i7 7th Gen,inspiron-3668-intel-core-i7-7th-gen,dell-inspiron-3668-intel-core-i7-7th-gen.webp,desktop,Dell,1,2017,30,2023-06-27 03:23:21
4996,Dell Inspiron 3670 Intel Core i3 8th Gen,inspiron-3670-intel-core-i3-8th-gen,dell-inspiron-3670-intel-core-i3-8th-gen.webp,desktop,Dell,1,2018,20,2023-06-27 03:23:27
4997,Dell Inspiron 3670 Intel Core i5 8th Gen,inspiron-3670-intel-core-i5-8th-gen,dell-inspiron-3670-intel-core-i5-8th-gen.webp,desktop,Dell,1,2018,25,2023-06-27 03:23:34
4998,Dell Inspiron 3670 Intel Core i7 8th Gen,inspiron-3670-intel-core-i7-8th-gen,dell-inspiron-3670-intel-core-i7-8th-gen.webp,desktop,Dell,1,2018,30,2023-06-27 03:23:49
4999,Dell Inspiron 3671 Intel Core i3 9th Gen,inspiron-3671-intel-core-i3-9th-gen,dell-inspiron-3671-intel-core-i3-9th-gen.webp,desktop,Dell,1,2019,25,2023-06-27 03:23:59
5000,Dell Inspiron 3671 Intel Core i5 9th Gen,inspiron-3671-intel-core-i5-9th-gen,dell-inspiron-3671-intel-core-i5-9th-gen.webp,desktop,Dell,1,2019,30,2023-06-27 03:25:54
5001,Dell Inspiron 3671 Intel Core i7 9th Gen,inspiron-3671-intel-core-i7-9th-gen,dell-inspiron-3671-intel-core-i7-9th-gen.webp,desktop,Dell,1,2019,35,2023-06-27 03:26:03
5007,Dell Inspiron 5675 AMD Ryzen 5,inspiron-5675-amd-ryzen-5,dell-inspiron-5675-amd-ryzen-5.webp,desktop,Dell,1,2017,50,2023-06-27 03:35:30
5008,Dell Inspiron 5675 AMD Ryzen 7,inspiron-5675-amd-ryzen-7,dell-inspiron-5675-amd-ryzen-7.webp,desktop,Dell,1,2017,85,2023-06-27 03:35:27
5009,Dell Inspiron 5676 AMD Ryzen 7,inspiron-5676-amd-ryzen-7,dell-inspiron-5676-amd-ryzen-7.webp,desktop,Dell,1,2018,85,2023-06-27 03:35:34
5010,Dell Inspiron 5680 Intel Core i5 8th Gen,inspiron-5680-intel-core-i5-8th-gen,dell-inspiron-5680-intel-core-i5-8th-gen.webp,desktop,Dell,1,2018,45,2023-01-14 08:25:49
5011,Dell Inspiron 5680 Intel Core i5 9th Gen,inspiron-5680-intel-core-i5-9th-gen,dell-inspiron-5680-intel-core-i5-9th-gen.webp,desktop,Dell,1,2019,55,2023-01-14 08:26:09
5012,Dell Inspiron 5680 Intel Core i7 8th Gen,inspiron-5680-intel-core-i7-8th-gen,dell-inspiron-5680-intel-core-i7-8th-gen.webp,desktop,Dell,1,2018,70,2023-06-27 03:39:38
5013,Dell Inspiron 5680 Intel Core i7 9th Gen,inspiron-5680-intel-core-i7-9th-gen,dell-inspiron-5680-intel-core-i7-9th-gen.webp,desktop,Dell,1,2019,75,2023-06-27 03:39:50
5020,Dell OptiPlex 3050 Intel Core i7 7th Gen,optiplex-3050-intel-core-i7-7th-gen,dell-optiplex-3050-intel-core-i7-7th-gen.webp,desktop,Dell,1,2017,25,2023-12-14 07:25:50
5021,Dell OptiPlex 3060 Intel Core i3 8th Gen,optiplex-3060-intel-core-i3-8th-gen,dell-optiplex-3060-intel-core-i3-8th-gen.webp,desktop,Dell,1,2018,20,2024-07-17 17:36:18
