id,title,url,images,type,brand,series,model,year,price,time_changed
27,Acer Nitro 5 AN515-43 AMD Ryzen 7 3rd Gen,/acer/nitro-5-an515-43-amd-ryzen-7-3rd-gen,acer-nitro-5-an515_43-amd-ryzen-7-3rd-gen.webp,laptop,Acer,,,2019,170,2025-01-24 00:36:27
29,Acer TravelMate P4 TMP416-53 Intel Core Ultra 7 155U,/acer/travelmate-p4-tmp416-53-intel-core-ultra-7-155u,acer-travelmate-p4-tmp416_53-intel-core-ultra-7-155u.webp,laptop,Acer,,,2025,280,2025-01-27 07:33:52
32,Alienware M17 Intel Core i7 8th Gen,/alienware/m17-intel-core-i7-8th-gen,alienware-m17-intel-core-i7-8th-gen.webp,laptop,Alienware,,,2018,170,2023-07-31 08:15:34
39,Apple MacBook Air A1465 2015 Intel Core i5,/apple/macbook-air-a1465-2015-intel-core-i5,apple-macbook-air-a1465-2015-intel-core-i5.webp,laptop,Apple,,,2015,25,2024-05-26 22:09:35
102,Acer Swift 3 SF314-43 AMD Ryzen 3 5th Gen,/acer/swift-3-sf314-43-amd-ryzen-3-5th-gen,acer-swift-3-sf314_43-amd-ryzen-3-5th-gen.webp,laptop,Acer,,,2020,50,2025-01-26 23:12:04
104,Acer Swift 3 SF314-41 AMD Ryzen 3 3rd Gen,/acer/swift-3-sf314-41-amd-ryzen-3-3rd-gen,acer-swift-3-sf314_41-amd-ryzen-3-3rd-gen.webp,laptop,Acer,,,2020,30,2025-01-26 23:10:47
108,Acer Predator Helios Neo 18 PHN18 Intel Cor i7 14th Gen,/acer/predator-helios-neo-18-phn18-intel-cor-i7-14th-gen,acer-predator-helios-neo-18-phn18-intel-cor-i7-14th-gen.webp,laptop,Acer,,,2024,400,2025-01-26 16:51:12
176,Dell Latitude 7212 Rugged Tablet Core i5 7th Gen,/dell/latitude-7212-rugged-tablet-core-i5-7th-gen,dell-laptop.webp,laptop,Dell,,,2017,55,2024-03-25 11:13:58
274,HP EliteBook 1040 G3 Intel Core i5 6th Gen,/hp/elitebook-1040-g3-intel-core-i5-6th-gen,hp-laptop.webp,laptop,HP,,,2016,25,2024-02-03 19:03:06
282,HP EliteBook 1030 G2 Intel Core i5 7th Gen,/hp/elitebook-1030-g2-intel-core-i5-7th-gen,hp-laptop.webp,laptop,HP,,,2017,30,2024-02-03 19:01:25
283,HP EliteBook 650 G10 Intel Core i5 13th Gen,/hp/elitebook-650-g10-intel-core-i5-13th-gen,hp-laptop.webp,laptop,HP,,,2023,160,2024-02-03 19:23:54
284,HP EliteBook 1040 G3 Intel Core i7 6th Gen,/hp/elitebook-1040-g3-intel-core-i7-6th-gen,hp-laptop.webp,laptop,HP,,,2016,30,2024-02-03 19:03:33
285,HP EliteBook 640 G9 Intel Core i3 12th Gen,/hp/elitebook-640-g9-intel-core-i3-12th-gen,hp-laptop.webp,laptop,HP,,,2022,95,2024-02-03 19:16:36
310,HP EliteBook 845 G8 AMD Ryzen 3,/hp/elitebook-845-g8-amd-ryzen-3,hp-elitebook-845-g8-amd-ryzen-3.webp,laptop,HP,,,2022,45,2024-08-29 21:00:49
356,Panasonic Toughbook CF-54 Intel Core i5 7th Gen,/panasonic/toughbook-cf-54-intel-core-i5-7th-gen,panasonic-toughbook-cf_54-intel-core-i5-7th-gen.webp,laptop,Panasonic,,,2017,65,2024-09-19 23:02:40
364,"Lenovo IdeaPad Y700 17.3"" Intel Core i5 6th Gen Non Touch Screen",/lenovo/ideapad-y700-17-3-intel-core-i5-6th-gen-non-touch-screen,lenovo-ideapad-y700-17-3-intel-core-i5-6th-gen-non-touch-screen.webp,laptop,Lenovo,,,2016,50,2023-06-12 04:40:53
387,Panasonic Toughbook CF-54 Intel Core i7 6th Gen,/panasonic/toughbook-cf-54-intel-core-i7-6th-gen,panasonic-laptop.webp,laptop,Panasonic,,,2016,85,2024-09-19 23:01:33
388,Panasonic Toughbook CF-54 Intel Core i7 7th Gen,/panasonic/toughbook-cf-54-intel-core-i7-7th-gen,panasonic-laptop.webp,laptop,Panasonic,,,2017,95,2024-09-19 23:02:10
578,LG Gram 13 13Z980 Intel Core i7 8th Gen,/lg/gram-13-13z980-intel-core-i7-8th-gen,lg-gram-13-13z980-intel-core-i7-8th-gen.webp,laptop,LG,,,2018,105,2023-06-19 02:13:00
580,LG Gram 15 15Z970 Intel Core i7 7th Gen,/lg/gram-15-15z970-intel-core-i7-7th-gen,lg-gram-15-15z970-intel-core-i7-7th-gen.webp,laptop,LG,,,2017,95,2023-06-19 02:34:17
581,LG Gram 13 13Z975 Intel Core i5 8th Gen,/lg/gram-13-13z975-intel-core-i5-8th-gen,lg-gram-13-13z975-intel-core-i5-8th-gen.webp,laptop,LG,,,2018,70,2023-06-19 02:13:23
582,LG Gram 14 14Z980 Intel Core i7 8th Gen,/lg/gram-14-14z980-intel-core-i7-8th-gen,lg-gram-14-14z980-intel-core-i7-8th-gen.webp,laptop,LG,,,2018,80,2023-06-19 02:26:40
583,LG Gram 15 15Z975 Intel Core i5 8th Gen,/lg/gram-15-15z975-intel-core-i5-8th-gen,lg-gram-15-15z975-intel-core-i5-8th-gen.webp,laptop,LG,,,2019,80,2023-06-19 02:36:05
584,LG Gram 17 17Z990 Intel Core i7 8th Gen 1TB SSD,/lg/gram-17-17z990-intel-core-i7-8th-gen-1tb-ssd,lg-gram-17-17z990-intel-core-i7-8th-gen-1tb-ssd.webp,laptop,LG,,,2019,130,2023-06-19 02:49:58
585,LG Gram 17 17Z990 Intel Core i7 8th Gen 256GB SSD,/lg/gram-17-17z990-intel-core-i7-8th-gen-256gb-ssd,lg-gram-17-17z990-intel-core-i7-8th-gen-256gb-ssd.webp,laptop,LG,,,2019,105,2023-06-19 02:49:43
587,LG Gram 14 14Z990 Intel Core i7 8th Gen,/lg/gram-14-14z990-intel-core-i7-8th-gen,lg-gram-14-14z990-intel-core-i7-8th-gen.webp,laptop,LG,,,2019,90,2023-06-19 02:26:56
588,LG Gram 13 13Z990 Intel Core i5 8th Gen,/lg/gram-13-13z990-intel-core-i5-8th-gen,lg-gram-13-13z990-intel-core-i5-8th-gen.webp,laptop,LG,,,2019,95,2023-06-19 02:10:18
591,LG Gram 15 15Z980 Intel Core i5 8th Gen 512GB SSD,/lg/gram-15-15z980-intel-core-i5-8th-gen-512gb-ssd,lg-gram-15-15z980-intel-core-i5-8th-gen-512gb-ssd.webp,laptop,LG,,,2018,50,2023-06-19 02:41:01
592,LG Gram 14 14Z980 Intel Core i5 8th Gen,/lg/gram-14-14z980-intel-core-i5-8th-gen,lg-gram-14-14z980-intel-core-i5-8th-gen.webp,laptop,LG,,,2018,60,2023-06-19 02:26:31
593,LG Gram 14 14Z970 Intel Core i5 7th Gen,/lg/gram-14-14z970-intel-core-i5-7th-gen,lg-gram-14-14z970-intel-core-i5-7th-gen.webp,laptop,LG,,,2017,50,2023-06-19 02:25:54
594,LG Gram 13 13Z970 Intel Core i7 8th Gen,/lg/gram-13-13z970-intel-core-i7-8th-gen,lg-gram-13-13z970-intel-core-i7-8th-gen.webp,laptop,LG,,,2017,95,2023-06-19 02:13:31
595,LG Gram 17 17Z90N Intel Core i7 10th Gen,/lg/gram-17-17z90n-intel-core-i7-10th-gen,lg-gram-17-17z90n-intel-core-i7-10th-gen.webp,laptop,LG,,,2019,230,2023-06-19 02:47:19
596,LG Gram 17 17Z90N Intel Core i5 10th Gen,/lg/gram-17-17z90n-intel-core-i5-10th-gen,lg-gram-17-17z90n-intel-core-i5-10th-gen.webp,laptop,LG,,,2019,185,2023-06-19 02:47:23
597,LG Gram 15 15Z980 Intel Core i7 8th Gen 1TB SSD,/lg/gram-15-15z980-intel-core-i7-8th-gen-1tb-ssd,lg-gram-15-15z980-intel-core-i7-8th-gen-1tb-ssd.webp,laptop,LG,,,2018,120,2023-06-19 02:41:36
599,LG Gram 13 13Z975 Intel Core i7 8th Gen,/lg/gram-13-13z975-intel-core-i7-8th-gen,lg-laptop.webp,laptop,LG,,,2018,95,2023-06-19 02:13:17
600,LG Gram 14 14T990 Intel Core i7 8th Gen 1TB SSD,/lg/gram-14-14t990-intel-core-i7-8th-gen-1tb-ssd,lg-gram-14-14t990-intel-core-i7-8th-gen-1tb-ssd.webp,laptop,LG,,,2021,130,2023-06-19 02:15:58
601,Apple MacBook Air A1466 2017 Intel Core i5,/apple/macbook-air-a1466-2017-intel-core-i5,apple-macbook-air-a1466-2017-intel-core-i5.webp,laptop,Apple,,,2017,45,2024-05-26 22:11:24
756,Acer Aspire Vero AV16 Intel Core Ultra 7,/acer/aspire-vero-av16-intel-core-ultra-7,acer-aspire-vero-av16-intel-core-ultra-7.webp,laptop,Acer,,,2024,250,2025-01-23 00:15:52
774,Acer TravelMate P6 14 AI TMP614-54 Intel Core Ultra 7,/acer/travelmate-p6-14-ai-tmp614-54-intel-core-ultra-7,acer-travelmate-p6-14-ai-tmp614_54-intel-core-ultra-7.webp,laptop,Acer,,,2025,300,2025-01-27 07:42:00
775,Acer TravelMate P6 14 AI TMP614-54 Intel Core Ultra 5,/acer/travelmate-p6-14-ai-tmp614-54-intel-core-ultra-5,acer-travelmate-p6-14-ai-tmp614_54-intel-core-ultra-5.webp,laptop,Acer,,,2025,260,2025-01-27 07:41:25
776,Acer TravelMate P6 TMP614-53 Intel Core Ultra 7 155H,/acer/travelmate-p6-tmp614-53-intel-core-ultra-7-155h,acer-travelmate-p6-tmp614_53-intel-core-ultra-7-155h.webp,laptop,Acer,,,2025,280,2025-01-27 07:38:47
777,Acer TravelMate P6 TMP614-53 Intel Core Ultra 5 125H,/acer/travelmate-p6-tmp614-53-intel-core-ultra-5-125h,acer-travelmate-p6-tmp614_53-intel-core-ultra-5-125h.webp,laptop,Acer,,,2025,220,2025-01-27 07:37:57
778,Acer TravelMate P4 TMP416-53 Intel Core Ultra 5 125U,/acer/travelmate-p4-tmp416-53-intel-core-ultra-5-125u,acer-travelmate-p4-tmp416_53-intel-core-ultra-5-125u.webp,laptop,Acer,,,2025,200,2025-01-27 07:32:47
780,Acer TravelMate Vero TMV15-51 Intel Core i5 11th Gen,/acer/travelmate-vero-tmv15-51-intel-core-i5-11th-gen,acer-travelmate-vero-tmv15_51-intel-core-i5-11th-gen.webp,laptop,Acer,,,2021,80,2025-01-27 06:44:29
781,Acer TravelMate P2 TMP214-55 Intel Core i3 13th Gen,/acer/travelmate-p2-tmp214-55-intel-core-i3-13th-gen,acer-travelmate-p2-tmp214_55-intel-core-i3-13th-gen.webp,laptop,Acer,,,2023,100,2025-01-27 07:20:54
782,Acer TravelMate Spin P4 TMP414RN-54 Intel Core Ultra 7,/acer/travelmate-spin-p4-tmp414rn-54-intel-core-ultra-7,acer-travelmate-spin-p4-tmp414rn_54-intel-core-ultra-7.webp,laptop,Acer,,,2024,230,2025-01-27 07:12:53
783,Acer TravelMate Spin P4 TMP414RN-54 Intel Core Ultra 5,/acer/travelmate-spin-p4-tmp414rn-54-intel-core-ultra-5,acer-travelmate-spin-p4-tmp414rn_54-intel-core-ultra-5.webp,laptop,Acer,,,2021,180,2025-01-27 07:12:03
784,Acer TravelMate Vero TMV15-51 Intel Core i7 11th Gen,/acer/travelmate-vero-tmv15-51-intel-core-i7-11th-gen,acer-travelmate-vero-tmv15_51-intel-core-i7-11th-gen.webp,laptop,Acer,,,2021,120,2025-01-27 06:45:27
785,Acer Swift 3 SF314-42 AMD Ryzen 5 4th Gen,/acer/swift-3-sf314-42-amd-ryzen-5-4th-gen,acer-swift-3-sf314_42-amd-ryzen-5-4th-gen.webp,laptop,Acer,,,2018,70,2025-01-26 23:11:49
811,Acer Aspire Vero AV16 Intel Core Ultra 5,/acer/aspire-vero-av16-intel-core-ultra-5,acer-aspire-vero-av16-intel-core-ultra-5.webp,laptop,Acer,,,2024,190,2025-01-23 00:14:54
885,Dell Inspiron 15 7537 Intel Core i5 4th Gen,/dell/inspiron-15-7537-intel-core-i5-4th-gen,dell-inspiron-15-7537-intel-core-i5-4th-gen.webp,laptop,Dell,,,2014,20,2024-07-07 18:21:52
9353,Dell Inspiron 15 3576 Intel Core i7 8th Gen,/dell/inspiron-15-3576-intel-core-i7-8th-gen,dell-inspiron-15-3576-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,65,2024-06-17 23:32:49
