id,title,url,images,type,brand,display,year,price,time_changed
3854,Apple iPhone XR 128GB A2105,iphone-xr-128gb-a2105,apple-iphone-xr-128gb-a2105.webp,phone,Apple,1,2018,40,2023-02-01 02:04:53
3855,Apple iPhone XR 256GB A1984,iphone-xr-256gb-a1984,apple-iphone-xr-256gb-a1984.webp,phone,Apple,1,2018,45,2023-02-01 02:05:27
3856,Apple iPhone XR 256GB A2105,iphone-xr-256gb-a2105,apple-iphone-xr-256gb-a2105.webp,phone,Apple,1,2018,45,2023-02-01 02:05:20
11334,Apple iPhone X 64GB A1865,iphone-x-64gb-a1865,apple-iphone-x-64gb-a1865.webp,phone,Apple,1,2017,30,2023-02-01 02:15:00
11335,Apple iPhone X 256GB A1865,iphone-x-256gb-a1865,apple-iphone-x-256gb-a1865.webp,phone,Apple,1,2017,35,2023-02-01 02:15:03
11336,Apple iPhone X 64GB A1901,iphone-x-64gb-a1901,apple-iphone-x-64gb-a1901.webp,phone,Apple,1,2017,30,2023-02-01 02:14:23
11337,Apple iPhone X 256GB A1901,iphone-x-256gb-a1901,apple-iphone-x-256gb-a1901.webp,phone,Apple,1,2017,40,2023-02-01 02:14:43
11373,Apple iPhone XS 64GB A1920,iphone-xs-64gb-a1920,apple-iphone-xs-64gb-a1920.webp,phone,Apple,1,2018,35,2023-02-01 01:26:54
11374,Apple iPhone XS 256GB A1920,iphone-xs-256gb-a1920,apple-iphone-xs-256gb-a1920.webp,phone,Apple,1,2018,40,2023-02-01 01:28:51
11375,Apple iPhone XS 512GB A1920,iphone-xs-512gb-a1920,apple-iphone-xs-512gb-a1920.webp,phone,Apple,1,2018,45,2023-02-01 01:30:33
11376,Apple iPhone XS 64GB A2105,iphone-xs-64gb-a2105,apple-iphone-xs-64gb-a2105.webp,phone,Apple,1,2018,40,2023-02-01 01:27:04
11377,Apple iPhone XS 256GB A2105,iphone-xs-256gb-a2105,apple-iphone-xs-256gb-a2105.webp,phone,Apple,1,2018,45,2023-02-01 01:28:55
11378,Apple iPhone XS 512GB A2105,iphone-xs-512gb-a2105,apple-iphone-xs-512gb-a2105.webp,phone,Apple,1,2018,50,2023-02-01 01:30:37
11407,Apple iPhone XS Max 256GB A1921,iphone-xs-max-256gb-a1921,apple-iphone-xs-max-256gb-a1921.webp,phone,Apple,1,2018,40,2023-02-01 01:12:42
11409,Apple iPhone XS Max 64GB A2101,iphone-xs-max-64gb-a2101,apple-iphone-xs-max-64gb-a2101.webp,phone,Apple,1,2018,30,2023-02-01 01:11:59
11410,Apple iPhone XS Max 256GB A2101,iphone-xs-max-256gb-a2101,apple-iphone-xs-max-256gb-a2101.webp,phone,Apple,1,2018,45,2023-02-01 01:12:38
11411,Apple iPhone XS Max 512GB A2101,iphone-xs-max-512gb-a2101,apple-iphone-xs-max-512gb-a2101.webp,phone,Apple,1,2018,50,2023-02-01 01:13:17
11415,Apple iPhone XS Max 64GB A1921,iphone-xs-max-64gb-a1921,apple-iphone-xs-max-64gb-a1921.webp,phone,Apple,1,2018,40,2023-02-01 01:12:01
11417,Apple iPhone XS Max 512GB A1921,iphone-xs-max-512gb-a1921,apple-iphone-xs-max-512gb-a1921.webp,phone,Apple,1,2018,45,2023-02-01 01:13:22
11443,Apple iPhone XR 64GB A1984,iphone-xr-64gb-a1984,apple-iphone-xr-64gb-a1984.webp,phone,Apple,1,2018,35,2023-02-01 01:58:29
11444,Apple iPhone XR 128GB A1984,iphone-xr-128gb-a1984,apple-iphone-xr-128gb-a1984.webp,phone,Apple,1,2018,40,2023-02-01 02:04:56
11445,Apple iPhone XR 64GB A2105,iphone-xr-64gb-a2105,apple-iphone-xr-64gb-a2105.webp,phone,Apple,1,2018,40,2023-02-01 02:04:28
11457,Apple iPhone 11 64GB A2111,iphone-11-64gb-a2111,,phone,Apple,1,2019,45,2023-02-01 04:36:31
11458,Apple iPhone 11 128GB A2111,iphone-11-128gb-a2111,,phone,Apple,1,2019,50,2023-02-08 00:17:23
11459,Apple iPhone 11 64GB A2221,iphone-11-64gb-a2221,,phone,Apple,1,2019,55,2023-02-08 00:20:51
11460,Apple iPhone 11 128GB A2221,iphone-11-128gb-a2221,,phone,Apple,1,2019,65,2023-02-08 00:16:38
11480,Apple iPhone 11 Pro 64GB A2160,iphone-11-pro-64gb-a2160,,phone,Apple,1,2019,65,2023-02-01 04:51:31
11481,Apple iPhone 11 Pro 256GB A2160,iphone-11-pro-256gb-a2160,,phone,Apple,1,2019,75,2023-02-01 04:55:40
11482,Apple iPhone 11 Pro 512GB A2160,iphone-11-pro-512gb-a2160,,phone,Apple,1,2019,80,2023-02-01 04:56:03
11483,Apple iPhone 11 Pro 64GB A2215,iphone-11-pro-64gb-a2215,,phone,Apple,1,2019,60,2023-02-08 00:23:33
11484,Apple iPhone 11 Pro 256GB A2215,iphone-11-pro-256gb-a2215,,phone,Apple,1,2019,70,2023-02-01 04:58:16
11485,Apple iPhone 11 Pro 512GB A2215,iphone-11-pro-512gb-a2215,,phone,Apple,1,2019,85,2023-02-01 04:58:41
11513,Apple iPhone 11 Pro Max 64GB A2161,iphone-11-pro-max-64gb-a2161,,phone,Apple,1,2019,70,2023-02-01 05:06:29
11514,Apple iPhone 11 Pro Max 256GB A2161,iphone-11-pro-max-256gb-a2161,,phone,Apple,1,2019,80,2023-02-01 05:10:24
11515,Apple iPhone 11 Pro Max 512GB A2161,iphone-11-pro-max-512gb-a2161,,phone,Apple,1,2019,90,2023-02-01 05:11:22
11516,Apple iPhone 11 Pro Max 64GB A2218,iphone-11-pro-max-64gb-a2218,,phone,Apple,1,2019,70,2023-02-01 05:14:59
11517,Apple iPhone 11 Pro Max 256GB A2218,iphone-11-pro-max-256gb-a2218,,phone,Apple,1,2019,85,2023-02-01 05:15:17
11518,Apple iPhone 11 Pro Max 512GB A2218,iphone-11-pro-max-512gb-a2218,,phone,Apple,1,2019,95,2023-02-01 05:15:20
11543,Apple iPhone 11 256GB A2111,iphone-11-256gb-a2111,,phone,Apple,1,2019,60,2023-02-01 04:31:28
11544,Apple iPhone 11 256GB A2221,iphone-11-256gb-a2221,,phone,Apple,1,2019,75,2023-02-01 04:35:28
11565,Apple iPhone 12 Mini 64GB A2176,iphone-12-mini-64gb-a2176,,phone,Apple,1,2020,55,2023-02-01 06:58:12
11566,Apple iPhone 12 Mini 128GB A2176,iphone-12-mini-128gb-a2176,,phone,Apple,1,2020,70,2023-02-01 06:57:41
11567,Apple iPhone 12 Mini 256GB A2176,iphone-12-mini-256gb-a2176,,phone,Apple,1,2020,75,2023-02-01 06:58:01
11568,Apple iPhone 12 Mini 64GB A2398,iphone-12-mini-64gb-a2398,,phone,Apple,1,2020,55,2023-02-01 06:55:43
11569,Apple iPhone 12 Mini 128GB A2398,iphone-12-mini-128gb-a2398,,phone,Apple,1,2020,70,2023-02-01 06:55:58
11570,Apple iPhone 12 Mini 256GB A2398,iphone-12-mini-256gb-a2398,,phone,Apple,1,2020,75,2023-02-01 06:58:03
11571,Apple iPhone 12 Mini 64GB A2399,iphone-12-mini-64gb-a2399,,phone,Apple,1,2020,55,2023-02-01 06:49:01
11572,Apple iPhone 12 Mini 128GB A2399,iphone-12-mini-128gb-a2399,,phone,Apple,1,2020,70,2023-02-01 06:49:47
11573,Apple iPhone 12 Mini 256GB A2399,iphone-12-mini-256gb-a2399,,phone,Apple,1,2020,75,2023-02-01 06:58:06
11598,Apple iPhone 12 64GB A2172,iphone-12-64gb-a2172,,phone,Apple,1,2020,70,2023-02-01 07:47:53
