id,title,url,images,type,brand,display,year,price,time_changed
12052,Apple iPad 9.7 5th Gen 32GB Wi-Fi + Cellular,ipad-9-7-5th-gen-32gb-wi_fi-cellular,apple-ipad-9-7-5th-gen-32gb-wi_fi-cellular.webp,tablet,Apple,1,2017,25,2023-02-17 01:50:49
12053,Apple iPad 9.7 5th Gen 128GB Wi-Fi + Cellular,ipad-9-7-5th-gen-128gb-wi_fi-cellular,apple-ipad-9-7-5th-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2017,35,2023-02-17 01:51:12
12054,Apple iPad 9.7 5th Gen 32GB Wi-Fi,ipad-9-7-5th-gen-32gb-wi_fi,apple-ipad-9-7-5th-gen-32gb-wi_fi.webp,tablet,Apple,1,2017,15,2023-02-17 01:50:46
12055,Apple iPad 9.7 5th Gen 128GB Wi-Fi,ipad-9-7-5th-gen-128gb-wi_fi,apple-ipad-9-7-5th-gen-128gb-wi_fi.webp,tablet,Apple,1,2017,30,2023-02-17 01:51:07
12056,Apple iPad 9.7 6th Gen 128GB Wi-Fi + Cellular,ipad-9-7-6th-gen-128gb-wi_fi-cellular,apple-ipad-9-7-6th-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2018,40,2023-02-17 01:56:45
12057,Apple iPad 9.7 6th Gen 128GB Wi-Fi,ipad-9-7-6th-gen-128gb-wi_fi,apple-ipad-9-7-6th-gen-128gb-wi_fi.webp,tablet,Apple,1,2018,35,2023-02-17 01:56:43
12058,Apple iPad 9.7 6th Gen 32GB Wi-Fi + Cellular,ipad-9-7-6th-gen-32gb-wi_fi-cellular,apple-ipad-9-7-6th-gen-32gb-wi_fi-cellular.webp,tablet,Apple,1,2018,25,2023-02-17 01:56:57
12059,Apple iPad 9.7 6th Gen 32GB Wi-Fi,ipad-9-7-6th-gen-32gb-wi_fi,apple-ipad-9-7-6th-gen-32gb-wi_fi.webp,tablet,Apple,1,2018,20,2023-02-17 01:56:53
12060,Apple iPad 10.2 7th Gen 32GB Wi-Fi + Cellular,ipad-10-2-7th-gen-32gb-wi_fi-cellular,apple-ipad-10-2-7th-gen-32gb-wi_fi-cellular.webp,tablet,Apple,1,2019,50,2023-02-17 01:51:42
12061,Apple iPad 10.2 7th Gen 128GB Wi-Fi + Cellular,ipad-10-2-7th-gen-128gb-wi_fi-cellular,apple-ipad-10-2-7th-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2019,55,2023-02-17 01:51:38
12062,Apple iPad 10.2 7th Gen 32GB Wi-Fi,ipad-10-2-7th-gen-32gb-wi_fi,apple-ipad-10-2-7th-gen-32gb-wi_fi.webp,tablet,Apple,1,2019,45,2023-02-17 01:51:40
12063,Apple iPad 10.2 7th Gen 128GB Wi-Fi,ipad-10-2-7th-gen-128gb-wi_fi,apple-ipad-10-2-7th-gen-128gb-wi_fi.webp,tablet,Apple,1,2019,50,2023-02-17 01:51:35
