id,type,brand,series,models,price,year,title,url,images
5239,all-in-one,Lenovo,,,35,2018,Lenovo AIO V330-20ICB Intel Core i5 8th Gen,aio-v330_20icb-intel-core-i5-8th-gen,lenovo-aio-v330_20icb-intel-core-i5-8th-gen.webp
5240,all-in-one,Lenovo,,,35,2017,Lenovo AIO V410Z Intel Core i7 7th Gen,aio-v410z-intel-core-i7-7th-gen,lenovo-aio-v410z-intel-core-i7-7th-gen.webp
5241,all-in-one,Lenovo,,,35,2018,Lenovo AIO V510Z Intel Core i7 7th Gen,aio-v510z-intel-core-i7-7th-gen,lenovo-aio-v510z-intel-core-i7-7th-gen.webp
5242,all-in-one,Lenovo,,,95,2019,Lenovo AIO V530-22 Intel Core i7 8th Gen,aio-v530_22-intel-core-i7-8th-gen,lenovo-aio-v530_22-intel-core-i7-8th-gen.webp
5243,all-in-one,Lenovo,,,105,2019,Lenovo AIO V530-24 Intel Core i7 8th Gen,aio-v530_24-intel-core-i7-8th-gen,lenovo-aio-v530_24-intel-core-i7-8th-gen.webp
5244,all-in-one,Lenovo,,,105,2019,Lenovo AIO V540-24 Intel Core i5 8th Gen,aio-v540_24-intel-core-i5-8th-gen,lenovo-aio-v540_24-intel-core-i5-8th-gen.webp
5245,all-in-one,Lenovo,,,210,2019,Lenovo AIO Yoga A940-27ICB Intel Core i7 9th Gen,aio-yoga-a940_27icb-intel-core-i7-9th-gen,lenovo-aio-yoga-a940_27icb-intel-core-i7-9th-gen.webp
5257,all-in-one,Lenovo,,,50,2016,Lenovo IdeaCentre AIO 510 Intel Core i5 6th Gen,ideacentre-aio-510-intel-core-i5-6th-gen,lenovo-ideacentre-aio-510-intel-core-i5-6th-gen.webp
5258,all-in-one,Lenovo,,,70,2016,Lenovo IdeaCentre AIO 510 Intel Core i7 6th Gen,ideacentre-aio-510-intel-core-i7-6th-gen,lenovo-ideacentre-aio-510-intel-core-i7-6th-gen.webp
5259,all-in-one,Lenovo,,,45,2019,Lenovo IdeaCentre AIO 520 AMD Ryzen 5,ideacentre-aio-520-amd-ryzen-5,lenovo-ideacentre-aio-520-amd-ryzen-5.webp
5261,all-in-one,Lenovo,,,35,2018,Lenovo IdeaCentre AIO 520 Intel Core i3 8th Gen,ideacentre-aio-520-intel-core-i3-8th-gen,lenovo-ideacentre-aio-520-intel-core-i3-8th-gen.webp
5262,all-in-one,Lenovo,,,50,2017,Lenovo IdeaCentre AIO 520 Intel Core i5 7th Gen,ideacentre-aio-520-intel-core-i5-7th-gen,lenovo-ideacentre-aio-520-intel-core-i5-7th-gen.webp
5263,all-in-one,Lenovo,,,60,2018,Lenovo IdeaCentre AIO 520 Intel Core i5 8th Gen,ideacentre-aio-520-intel-core-i5-8th-gen,lenovo-ideacentre-aio-520-intel-core-i5-8th-gen.webp
5264,all-in-one,Lenovo,,,90,2017,Lenovo IdeaCentre AIO 520 Intel Core i7 7th Gen,ideacentre-aio-520-intel-core-i7-7th-gen,lenovo-ideacentre-aio-520-intel-core-i7-7th-gen.webp
5265,all-in-one,Lenovo,,,100,2018,Lenovo IdeaCentre AIO 520 Intel Core i7 8th Gen,ideacentre-aio-520-intel-core-i7-8th-gen,lenovo-ideacentre-aio-520-intel-core-i7-8th-gen.webp
5267,all-in-one,Lenovo,,,70,2016,Lenovo IdeaCentre AIO 700 Intel Core i5 6th Gen,ideacentre-aio-700-intel-core-i5-6th-gen,lenovo-ideacentre-aio-700-intel-core-i5-6th-gen.webp
5268,all-in-one,Lenovo,,,90,2016,Lenovo IdeaCentre AIO 700 Intel Core i7 6th Gen,ideacentre-aio-700-intel-core-i7-6th-gen,lenovo-ideacentre-aio-700-intel-core-i7-6th-gen.webp
5269,all-in-one,Lenovo,,,95,2018,Lenovo IdeaCentre AIO 730S-24IKB Intel Core i7 8th Gen,ideacentre-aio-730s_24ikb-intel-core-i7-8th-gen,lenovo-ideacentre-aio-730s_24ikb-intel-core-i7-8th-gen.webp
5270,all-in-one,Lenovo,,,60,2016,Lenovo IdeaCentre AIO 910-27ISH Intel Core i7 6th Gen,ideacentre-aio-910_27ish-intel-core-i7-6th-gen,lenovo-ideacentre-aio-910_27ish-intel-core-i7-6th-gen.webp
5274,all-in-one,Lenovo,,,80,2018,Lenovo IdeaCentre AIO A340 Intel Core i3 8th Gen,ideacentre-aio-a340-intel-core-i3-8th-gen,lenovo-ideacentre-aio-a340-intel-core-i3-8th-gen.webp
5275,all-in-one,Lenovo,,,105,2018,Lenovo IdeaCentre AIO A340 Intel Core i7 8th Gen,ideacentre-aio-a340-intel-core-i7-8th-gen,lenovo-ideacentre-aio-a340-intel-core-i7-8th-gen.webp
5278,all-in-one,Lenovo,,,60,2018,Lenovo IdeaCentre AIO A520 Intel Core i5 8th Gen,ideacentre-aio-a520-intel-core-i5-8th-gen,lenovo-ideacentre-aio-a520-intel-core-i5-8th-gen.webp
5279,all-in-one,Lenovo,,,80,2018,Lenovo IdeaCentre AIO A520 Intel Core i7 8th Gen,ideacentre-aio-a520-intel-core-i7-8th-gen,lenovo-ideacentre-aio-a520-intel-core-i7-8th-gen.webp
5281,all-in-one,Lenovo,,,35,2020,Lenovo IdeaCentre AIO A540-24API AMD Ryzen 3,ideacentre-aio-a540_24api-amd-ryzen-3,lenovo-ideacentre-aio-a540_24api-amd-ryzen-3.webp
5282,all-in-one,Lenovo,,,105,2019,Lenovo IdeaCentre AIO A540-24ICB Intel Core i5 9th Gen,ideacentre-aio-a540_24icb-intel-core-i5-9th-gen,lenovo-ideacentre-aio-a540_24icb-intel-core-i5-9th-gen.webp
5283,all-in-one,Lenovo,,,130,2019,Lenovo IdeaCentre AIO A540-24ICB Intel Core i7 9th Gen,ideacentre-aio-a540_24icb-intel-core-i7-9th-gen,lenovo-ideacentre-aio-a540_24icb-intel-core-i7-9th-gen.webp
