id,type,brand,series,models,price,year,title,url,images
4906,desktop,Alienware,,,85,2016,Alienware Alpha R2 Intel Core i7 6th Gen,alpha-r2-intel-core-i7-6th-gen,alienware-alpha-r2-intel-core-i7-6th-gen.webp
4907,desktop,Alienware,,,55,2016,Alienware Alpha R2 Intel Core i5 6th Gen,alpha-r2-intel-core-i5-6th-gen,alienware-alpha-r2-intel-core-i5-6th-gen.webp
4908,desktop,Alienware,,,40,2016,Alienware Alpha R2 Intel Core i3 6th Gen,alpha-r2-intel-core-i3-6th-gen,alienware-alpha-r2-intel-core-i3-6th-gen.webp
4909,desktop,Alienware,,,45,2016,Alienware Aurora R5 Intel Core i7 6th Gen NO GPU,aurora-r5-intel-core-i7-6th-gen-no-gpu,alienware-aurora-r5-intel-core-i7-6th-gen-no-gpu.webp
4910,desktop,Alienware,,,45,2016,Alienware Aurora R5 Intel Core i5 6th Gen Nvidia GTX,aurora-r5-intel-core-i5-6th-gen-nvidia-gtx,alienware-aurora-r5-intel-core-i5-6th-gen-nvidia-gtx.webp
4911,desktop,Alienware,,,30,2016,Alienware Aurora R5 Intel Core i5 6th Gen NO GPU,aurora-r5-intel-core-i5-6th-gen-no-gpu,alienware-aurora-r5-intel-core-i5-6th-gen-no-gpu.webp
4912,desktop,Alienware,,,60,2017,Alienware Aurora R5 Intel Core i7 6th Gen Nvidia GTX,aurora-r5-intel-core-i7-6th-gen-nvidia-gtx,alienware-aurora-r5-intel-core-i7-6th-gen-nvidia-gtx.webp
4913,desktop,Alienware,,,30,2017,Alienware Aurora R6 Intel Core i5 7th Gen NO GPU,aurora-r6-intel-core-i5-7th-gen-no-gpu,alienware-aurora-r6-intel-core-i5-7th-gen-no-gpu.webp
4914,desktop,Alienware,,,55,2017,Alienware Aurora R6 Intel Core i5 7th Gen Nvidia GTX,aurora-r6-intel-core-i5-7th-gen-nvidia-gtx,alienware-aurora-r6-intel-core-i5-7th-gen-nvidia-gtx.webp
4915,desktop,Alienware,,,55,2018,Alienware Aurora R7 Intel Core i5 8th Gen Nvidia GTX,aurora-r7-intel-core-i5-8th-gen-nvidia-gtx,alienware-aurora-r7-intel-core-i5-8th-gen-nvidia-gtx.webp
4916,desktop,Alienware,,,30,2018,Alienware Aurora R7 Intel Core i5 8th Gen NO GPU,aurora-r7-intel-core-i5-8th-gen-no-gpu,alienware-aurora-r7-intel-core-i5-8th-gen-no-gpu.webp
4917,desktop,Alienware,,,40,2019,Alienware Aurora R8 Intel Core i5 9th Gen NO GPU,aurora-r8-intel-core-i5-9th-gen-no-gpu,alienware-aurora-r8-intel-core-i5-9th-gen-no-gpu.webp
4918,desktop,Alienware,,,65,2019,Alienware Aurora R8 Intel Core i5 9th Gen Nvidia GTX,aurora-r8-intel-core-i5-9th-gen-nvidia-gtx,alienware-aurora-r8-intel-core-i5-9th-gen-nvidia-gtx.webp
