id,type,brand,series,models,price,year,title,url,images
27,laptop,Acer,,,170,2019,Acer Nitro 5 AN515-43 AMD Ryzen 7 3rd Gen,nitro-5-an515-43-amd-ryzen-7-3rd-gen,acer-nitro-5-an515_43-amd-ryzen-7-3rd-gen.webp
29,laptop,Acer,,,280,2025,Acer TravelMate P4 TMP416-53 Intel Core Ultra 7 155U,travelmate-p4-tmp416-53-intel-core-ultra-7-155u,acer-travelmate-p4-tmp416_53-intel-core-ultra-7-155u.webp
32,laptop,Alienware,,,170,2018,Alienware M17 Intel Core i7 8th Gen,m17-intel-core-i7-8th-gen,alienware-m17-intel-core-i7-8th-gen.webp
39,laptop,Apple,,,25,2015,Apple MacBook Air A1465 2015 Intel Core i5,macbook-air-a1465-2015-intel-core-i5,apple-macbook-air-a1465-2015-intel-core-i5.webp
102,laptop,Acer,,,50,2020,Acer Swift 3 SF314-43 AMD Ryzen 3 5th Gen,swift-3-sf314-43-amd-ryzen-3-5th-gen,acer-swift-3-sf314_43-amd-ryzen-3-5th-gen.webp
104,laptop,Acer,,,30,2020,Acer Swift 3 SF314-41 AMD Ryzen 3 3rd Gen,swift-3-sf314-41-amd-ryzen-3-3rd-gen,acer-swift-3-sf314_41-amd-ryzen-3-3rd-gen.webp
108,laptop,Acer,,,400,2024,Acer Predator Helios Neo 18 PHN18 Intel Cor i7 14th Gen,predator-helios-neo-18-phn18-intel-cor-i7-14th-gen,acer-predator-helios-neo-18-phn18-intel-cor-i7-14th-gen.webp
176,laptop,Dell,,,55,2017,Dell Latitude 7212 Rugged Tablet Core i5 7th Gen,latitude-7212-rugged-tablet-core-i5-7th-gen,dell-laptop.webp
274,laptop,HP,,,25,2016,HP EliteBook 1040 G3 Intel Core i5 6th Gen,elitebook-1040-g3-intel-core-i5-6th-gen,hp-laptop.webp
282,laptop,HP,,,30,2017,HP EliteBook 1030 G2 Intel Core i5 7th Gen,elitebook-1030-g2-intel-core-i5-7th-gen,hp-laptop.webp
283,laptop,HP,,,160,2023,HP EliteBook 650 G10 Intel Core i5 13th Gen,elitebook-650-g10-intel-core-i5-13th-gen,hp-laptop.webp
284,laptop,HP,,,30,2016,HP EliteBook 1040 G3 Intel Core i7 6th Gen,elitebook-1040-g3-intel-core-i7-6th-gen,hp-laptop.webp
285,laptop,HP,,,95,2022,HP EliteBook 640 G9 Intel Core i3 12th Gen,elitebook-640-g9-intel-core-i3-12th-gen,hp-laptop.webp
310,laptop,HP,,,45,2022,HP EliteBook 845 G8 AMD Ryzen 3,elitebook-845-g8-amd-ryzen-3,hp-elitebook-845-g8-amd-ryzen-3.webp
356,laptop,Panasonic,,,65,2017,Panasonic Toughbook CF-54 Intel Core i5 7th Gen,toughbook-cf-54-intel-core-i5-7th-gen,panasonic-toughbook-cf_54-intel-core-i5-7th-gen.webp
364,laptop,Lenovo,,,50,2016,"Lenovo IdeaPad Y700 17.3"" Intel Core i5 6th Gen Non Touch Screen",ideapad-y700-17-3-intel-core-i5-6th-gen-non-touch-screen,lenovo-ideapad-y700-17-3-intel-core-i5-6th-gen-non-touch-screen.webp
387,laptop,Panasonic,,,85,2016,Panasonic Toughbook CF-54 Intel Core i7 6th Gen,toughbook-cf-54-intel-core-i7-6th-gen,panasonic-laptop.webp
388,laptop,Panasonic,,,95,2017,Panasonic Toughbook CF-54 Intel Core i7 7th Gen,toughbook-cf-54-intel-core-i7-7th-gen,panasonic-laptop.webp
578,laptop,LG,,,105,2018,LG Gram 13 13Z980 Intel Core i7 8th Gen,gram-13-13z980-intel-core-i7-8th-gen,lg-gram-13-13z980-intel-core-i7-8th-gen.webp
580,laptop,LG,,,95,2017,LG Gram 15 15Z970 Intel Core i7 7th Gen,gram-15-15z970-intel-core-i7-7th-gen,lg-gram-15-15z970-intel-core-i7-7th-gen.webp
581,laptop,LG,,,70,2018,LG Gram 13 13Z975 Intel Core i5 8th Gen,gram-13-13z975-intel-core-i5-8th-gen,lg-gram-13-13z975-intel-core-i5-8th-gen.webp
582,laptop,LG,,,80,2018,LG Gram 14 14Z980 Intel Core i7 8th Gen,gram-14-14z980-intel-core-i7-8th-gen,lg-gram-14-14z980-intel-core-i7-8th-gen.webp
583,laptop,LG,,,80,2019,LG Gram 15 15Z975 Intel Core i5 8th Gen,gram-15-15z975-intel-core-i5-8th-gen,lg-gram-15-15z975-intel-core-i5-8th-gen.webp
584,laptop,LG,,,130,2019,LG Gram 17 17Z990 Intel Core i7 8th Gen 1TB SSD,gram-17-17z990-intel-core-i7-8th-gen-1tb-ssd,lg-gram-17-17z990-intel-core-i7-8th-gen-1tb-ssd.webp
585,laptop,LG,,,105,2019,LG Gram 17 17Z990 Intel Core i7 8th Gen 256GB SSD,gram-17-17z990-intel-core-i7-8th-gen-256gb-ssd,lg-gram-17-17z990-intel-core-i7-8th-gen-256gb-ssd.webp
587,laptop,LG,,,90,2019,LG Gram 14 14Z990 Intel Core i7 8th Gen,gram-14-14z990-intel-core-i7-8th-gen,lg-gram-14-14z990-intel-core-i7-8th-gen.webp
588,laptop,LG,,,95,2019,LG Gram 13 13Z990 Intel Core i5 8th Gen,gram-13-13z990-intel-core-i5-8th-gen,lg-gram-13-13z990-intel-core-i5-8th-gen.webp
