id,type,brand,series,models,price,year,title,url,images
3854,phone,Apple,,,40,2018,Apple iPhone XR 128GB A2105,iphone-xr-128gb-a2105,apple-iphone-xr-128gb-a2105.webp
3855,phone,Apple,,,45,2018,Apple iPhone XR 256GB A1984,iphone-xr-256gb-a1984,apple-iphone-xr-256gb-a1984.webp
3856,phone,Apple,,,45,2018,Apple iPhone XR 256GB A2105,iphone-xr-256gb-a2105,apple-iphone-xr-256gb-a2105.webp
11334,phone,Apple,,,30,2017,Apple iPhone X 64GB A1865,iphone-x-64gb-a1865,apple-iphone-x-64gb-a1865.webp
11335,phone,Apple,,,35,2017,Apple iPhone X 256GB A1865,iphone-x-256gb-a1865,apple-iphone-x-256gb-a1865.webp
11336,phone,Apple,,,30,2017,Apple iPhone X 64GB A1901,iphone-x-64gb-a1901,apple-iphone-x-64gb-a1901.webp
11337,phone,Apple,,,40,2017,Apple iPhone X 256GB A1901,iphone-x-256gb-a1901,apple-iphone-x-256gb-a1901.webp
11373,phone,Apple,,,35,2018,Apple iPhone XS 64GB A1920,iphone-xs-64gb-a1920,apple-iphone-xs-64gb-a1920.webp
11374,phone,Apple,,,40,2018,Apple iPhone XS 256GB A1920,iphone-xs-256gb-a1920,apple-iphone-xs-256gb-a1920.webp
11375,phone,Apple,,,45,2018,Apple iPhone XS 512GB A1920,iphone-xs-512gb-a1920,apple-iphone-xs-512gb-a1920.webp
11376,phone,Apple,,,40,2018,Apple iPhone XS 64GB A2105,iphone-xs-64gb-a2105,apple-iphone-xs-64gb-a2105.webp
11377,phone,Apple,,,45,2018,Apple iPhone XS 256GB A2105,iphone-xs-256gb-a2105,apple-iphone-xs-256gb-a2105.webp
11378,phone,Apple,,,50,2018,Apple iPhone XS 512GB A2105,iphone-xs-512gb-a2105,apple-iphone-xs-512gb-a2105.webp
11407,phone,Apple,,,40,2018,Apple iPhone XS Max 256GB A1921,iphone-xs-max-256gb-a1921,apple-iphone-xs-max-256gb-a1921.webp
11409,phone,Apple,,,30,2018,Apple iPhone XS Max 64GB A2101,iphone-xs-max-64gb-a2101,apple-iphone-xs-max-64gb-a2101.webp
11410,phone,Apple,,,45,2018,Apple iPhone XS Max 256GB A2101,iphone-xs-max-256gb-a2101,apple-iphone-xs-max-256gb-a2101.webp
11411,phone,Apple,,,50,2018,Apple iPhone XS Max 512GB A2101,iphone-xs-max-512gb-a2101,apple-iphone-xs-max-512gb-a2101.webp
11415,phone,Apple,,,40,2018,Apple iPhone XS Max 64GB A1921,iphone-xs-max-64gb-a1921,apple-iphone-xs-max-64gb-a1921.webp
11417,phone,Apple,,,45,2018,Apple iPhone XS Max 512GB A1921,iphone-xs-max-512gb-a1921,apple-iphone-xs-max-512gb-a1921.webp
11443,phone,Apple,,,35,2018,Apple iPhone XR 64GB A1984,iphone-xr-64gb-a1984,apple-iphone-xr-64gb-a1984.webp
11444,phone,Apple,,,40,2018,Apple iPhone XR 128GB A1984,iphone-xr-128gb-a1984,apple-iphone-xr-128gb-a1984.webp
11445,phone,Apple,,,40,2018,Apple iPhone XR 64GB A2105,iphone-xr-64gb-a2105,apple-iphone-xr-64gb-a2105.webp
11457,phone,Apple,,,45,2019,Apple iPhone 11 64GB A2111,iphone-11-64gb-a2111,
11458,phone,Apple,,,50,2019,Apple iPhone 11 128GB A2111,iphone-11-128gb-a2111,
11459,phone,Apple,,,55,2019,Apple iPhone 11 64GB A2221,iphone-11-64gb-a2221,
11460,phone,Apple,,,65,2019,Apple iPhone 11 128GB A2221,iphone-11-128gb-a2221,
11480,phone,Apple,,,65,2019,Apple iPhone 11 Pro 64GB A2160,iphone-11-pro-64gb-a2160,
11481,phone,Apple,,,75,2019,Apple iPhone 11 Pro 256GB A2160,iphone-11-pro-256gb-a2160,
11482,phone,Apple,,,80,2019,Apple iPhone 11 Pro 512GB A2160,iphone-11-pro-512gb-a2160,
11483,phone,Apple,,,60,2019,Apple iPhone 11 Pro 64GB A2215,iphone-11-pro-64gb-a2215,
11484,phone,Apple,,,70,2019,Apple iPhone 11 Pro 256GB A2215,iphone-11-pro-256gb-a2215,
11485,phone,Apple,,,85,2019,Apple iPhone 11 Pro 512GB A2215,iphone-11-pro-512gb-a2215,
11513,phone,Apple,,,70,2019,Apple iPhone 11 Pro Max 64GB A2161,iphone-11-pro-max-64gb-a2161,
11514,phone,Apple,,,80,2019,Apple iPhone 11 Pro Max 256GB A2161,iphone-11-pro-max-256gb-a2161,
11515,phone,Apple,,,90,2019,Apple iPhone 11 Pro Max 512GB A2161,iphone-11-pro-max-512gb-a2161,
11516,phone,Apple,,,70,2019,Apple iPhone 11 Pro Max 64GB A2218,iphone-11-pro-max-64gb-a2218,
11517,phone,Apple,,,85,2019,Apple iPhone 11 Pro Max 256GB A2218,iphone-11-pro-max-256gb-a2218,
11518,phone,Apple,,,95,2019,Apple iPhone 11 Pro Max 512GB A2218,iphone-11-pro-max-512gb-a2218,
11543,phone,Apple,,,60,2019,Apple iPhone 11 256GB A2111,iphone-11-256gb-a2111,
11544,phone,Apple,,,75,2019,Apple iPhone 11 256GB A2221,iphone-11-256gb-a2221,
11565,phone,Apple,,,55,2020,Apple iPhone 12 Mini 64GB A2176,iphone-12-mini-64gb-a2176,
11566,phone,Apple,,,70,2020,Apple iPhone 12 Mini 128GB A2176,iphone-12-mini-128gb-a2176,
11567,phone,Apple,,,75,2020,Apple iPhone 12 Mini 256GB A2176,iphone-12-mini-256gb-a2176,
11568,phone,Apple,,,55,2020,Apple iPhone 12 Mini 64GB A2398,iphone-12-mini-64gb-a2398,
11569,phone,Apple,,,70,2020,Apple iPhone 12 Mini 128GB A2398,iphone-12-mini-128gb-a2398,
11570,phone,Apple,,,75,2020,Apple iPhone 12 Mini 256GB A2398,iphone-12-mini-256gb-a2398,
11571,phone,Apple,,,55,2020,Apple iPhone 12 Mini 64GB A2399,iphone-12-mini-64gb-a2399,
11572,phone,Apple,,,70,2020,Apple iPhone 12 Mini 128GB A2399,iphone-12-mini-128gb-a2399,
11573,phone,Apple,,,75,2020,Apple iPhone 12 Mini 256GB A2399,iphone-12-mini-256gb-a2399,
11598,phone,Apple,,,70,2020,Apple iPhone 12 64GB A2172,iphone-12-64gb-a2172,
11599,phone,Apple,,,75,2020,Apple iPhone 12 128GB A2172,iphone-12-128gb-a2172,
11600,phone,Apple,,,80,2020,Apple iPhone 12 256GB A2172,iphone-12-256gb-a2172,
11601,phone,Apple,,,70,2020,Apple iPhone 12 64GB A2402,iphone-12-64gb-a2402,apple-iphone-12-64gb-a2402.webp
11602,phone,Apple,,,75,2020,Apple iPhone 12 128GB A2402,iphone-12-128gb-a2402,
11603,phone,Apple,,,80,2020,Apple iPhone 12 256GB A2402,iphone-12-256gb-a2402,
11604,phone,Apple,,,70,2020,Apple iPhone 12 64GB A2403,iphone-12-64gb-a2403,
11605,phone,Apple,,,75,2020,Apple iPhone 12 128GB A2403,iphone-12-128gb-a2403,
11606,phone,Apple,,,80,2020,Apple iPhone 12 256GB A2403,iphone-12-256gb-a2403,
11631,phone,Apple,,,85,2020,Apple iPhone 12 Pro 128GB A2341,iphone-12-pro-128gb-a2341,
11632,phone,Apple,,,100,2020,Apple iPhone 12 Pro 256GB A2341,iphone-12-pro-256gb-a2341,
11633,phone,Apple,,,110,2020,Apple iPhone 12 Pro 512GB A2341,iphone-12-pro-512gb-a2341,
11634,phone,Apple,,,90,2020,Apple iPhone 12 Pro 128GB A2406,iphone-12-pro-128gb-a2406,
11635,phone,Apple,,,100,2020,Apple iPhone 12 Pro 256GB A2406,iphone-12-pro-256gb-a2406,
11636,phone,Apple,,,115,2020,Apple iPhone 12 Pro 512GB A2406,iphone-12-pro-512gb-a2406,
11637,phone,Apple,,,90,2020,Apple iPhone 12 Pro 128GB A2407,iphone-12-pro-128gb-a2407,
11638,phone,Apple,,,105,2020,Apple iPhone 12 Pro 256GB A2407,iphone-12-pro-256gb-a2407,
11639,phone,Apple,,,115,2020,Apple iPhone 12 Pro 512GB A2407,iphone-12-pro-512gb-a2407,
