id,type,brand,series,models,price,year,title,url,images
12052,tablet,Apple,,,25,2017,Apple iPad 9.7 5th Gen 32GB Wi-Fi + Cellular,ipad-9-7-5th-gen-32gb-wi_fi-cellular,apple-ipad-9-7-5th-gen-32gb-wi_fi-cellular.webp
12053,tablet,Apple,,,35,2017,Apple iPad 9.7 5th Gen 128GB Wi-Fi + Cellular,ipad-9-7-5th-gen-128gb-wi_fi-cellular,apple-ipad-9-7-5th-gen-128gb-wi_fi-cellular.webp
12054,tablet,Apple,,,15,2017,Apple iPad 9.7 5th Gen 32GB Wi-Fi,ipad-9-7-5th-gen-32gb-wi_fi,apple-ipad-9-7-5th-gen-32gb-wi_fi.webp
12055,tablet,Apple,,,30,2017,Apple iPad 9.7 5th Gen 128GB Wi-Fi,ipad-9-7-5th-gen-128gb-wi_fi,apple-ipad-9-7-5th-gen-128gb-wi_fi.webp
12056,tablet,Apple,,,40,2018,Apple iPad 9.7 6th Gen 128GB Wi-Fi + Cellular,ipad-9-7-6th-gen-128gb-wi_fi-cellular,apple-ipad-9-7-6th-gen-128gb-wi_fi-cellular.webp
12057,tablet,Apple,,,35,2018,Apple iPad 9.7 6th Gen 128GB Wi-Fi,ipad-9-7-6th-gen-128gb-wi_fi,apple-ipad-9-7-6th-gen-128gb-wi_fi.webp
12058,tablet,Apple,,,25,2018,Apple iPad 9.7 6th Gen 32GB Wi-Fi + Cellular,ipad-9-7-6th-gen-32gb-wi_fi-cellular,apple-ipad-9-7-6th-gen-32gb-wi_fi-cellular.webp
12059,tablet,Apple,,,20,2018,Apple iPad 9.7 6th Gen 32GB Wi-Fi,ipad-9-7-6th-gen-32gb-wi_fi,apple-ipad-9-7-6th-gen-32gb-wi_fi.webp
12060,tablet,Apple,,,50,2019,Apple iPad 10.2 7th Gen 32GB Wi-Fi + Cellular,ipad-10-2-7th-gen-32gb-wi_fi-cellular,apple-ipad-10-2-7th-gen-32gb-wi_fi-cellular.webp
12061,tablet,Apple,,,55,2019,Apple iPad 10.2 7th Gen 128GB Wi-Fi + Cellular,ipad-10-2-7th-gen-128gb-wi_fi-cellular,apple-ipad-10-2-7th-gen-128gb-wi_fi-cellular.webp
12062,tablet,Apple,,,45,2019,Apple iPad 10.2 7th Gen 32GB Wi-Fi,ipad-10-2-7th-gen-32gb-wi_fi,apple-ipad-10-2-7th-gen-32gb-wi_fi.webp
12063,tablet,Apple,,,50,2019,Apple iPad 10.2 7th Gen 128GB Wi-Fi,ipad-10-2-7th-gen-128gb-wi_fi,apple-ipad-10-2-7th-gen-128gb-wi_fi.webp
12064,tablet,Apple,,,80,2020,Apple iPad 10.2 8th Gen 128GB Wi-Fi + Cellular,ipad-10-2-8th-gen-128gb-wi_fi-cellular,apple-ipad-10-2-8th-gen-128gb-wi_fi-cellular.webp
12065,tablet,Apple,,,70,2020,Apple iPad 10.2 8th Gen 128GB Wi-Fi,ipad-10-2-8th-gen-128gb-wi_fi,apple-ipad-10-2-8th-gen-128gb-wi_fi.webp
12066,tablet,Apple,,,70,2020,Apple iPad 10.2 8th Gen 32GB Wi-Fi + Cellular,ipad-10-2-8th-gen-32gb-wi_fi-cellular,apple-ipad-10-2-8th-gen-32gb-wi_fi-cellular.webp
12067,tablet,Apple,,,60,2020,Apple iPad 10.2 8th Gen 32GB Wi-Fi,ipad-10-2-8th-gen-32gb-wi_fi,apple-ipad-10-2-8th-gen-32gb-wi_fi.webp
12068,tablet,Apple,,,85,2021,Apple iPad 10.2 9th Gen 64GB Wi-Fi + Cellular,ipad-10-2-9th-gen-64gb-wi_fi-cellular,apple-ipad-10-2-9th-gen-64gb-wi_fi-cellular.webp
12069,tablet,Apple,,,110,2021,Apple iPad 10.2 9th Gen 256GB Wi-Fi + Cellular,ipad-10-2-9th-gen-256gb-wi_fi-cellular,apple-ipad-10-2-9th-gen-256gb-wi_fi-cellular.webp
12070,tablet,Apple,,,80,2021,Apple iPad 10.2 9th Gen 64GB Wi-Fi,ipad-10-2-9th-gen-64gb-wi_fi,apple-ipad-10-2-9th-gen-64gb-wi_fi.webp
12071,tablet,Apple,,,100,2021,Apple iPad 10.2 9th Gen 256GB Wi-Fi,ipad-10-2-9th-gen-256gb-wi_fi,apple-ipad-10-2-9th-gen-256gb-wi_fi.webp
