id,type,brand,series,models,price,year,title,url,images
11853,watch,Apple,,,20,2020,Apple Watch Series 6 40mm GPS Cellular,watch-series-6-40mm-gps-cellular,apple-watch-series-6-40mm-gps-cellular.webp
11854,watch,Apple,,,20,2020,Apple Watch Series 6 40mm GPS Only,watch-series-6-40mm-gps-only,apple-watch-series-6-40mm-gps-only.webp
11855,watch,Apple,,,25,2020,Apple Watch Series 6 44mm GPS Cellular,watch-series-6-44mm-gps-cellular,apple-watch-series-6-44mm-gps-cellular.webp
11856,watch,Apple,,,25,2020,Apple Watch Series 6 44mm GPS Only,watch-series-6-44mm-gps-only,apple-watch-series-6-44mm-gps-only.webp
11867,watch,Apple,,,25,2021,Apple Watch Series 7 41mm GPS Only,watch-series-7-41mm-gps-only,apple-watch.webp
11868,watch,Apple,,,25,2021,Apple Watch Series 7 41mm GPS Cellular,watch-series-7-41mm-gps-cellular,apple-watch.webp
11886,watch,Apple,,,30,2021,Apple Watch Series 7 45mm GPS Cellular,watch-series-7-45mm-gps-cellular,apple-watch.webp
11892,watch,Apple,,,30,2021,Apple Watch Series 7 45mm GPS Only,watch-series-7-45mm-gps-only,apple-watch.webp
11912,watch,Apple,,,200,2022,Apple Watch Ultra 2nd Gen 49mm,watch-ultra-2nd-gen-49mm,apple-watch-ultra-2nd-gen-49mm.webp
11913,watch,Apple,,,150,2022,Apple Watch Ultra 1st Gen 49mm,watch-ultra-1st-gen-49mm,apple-watch-ultra-1st-gen-49mm.webp
11954,watch,Apple,,,45,2022,Apple Watch Series 8 41mm GPS Only,watch-series-8-41mm-gps-only,apple-watch-series-8-41mm-gps-only.webp
11955,watch,Apple,,,45,2022,Apple Watch Series 8 41mm GPS Cellular,watch-series-8-41mm-gps-cellular,apple-watch.webp
11956,watch,Apple,,,50,2022,Apple Watch Series 8 45mm GPS Only,watch-series-8-45mm-gps-only,apple-watch-series-8-45mm-gps-only.webp
11957,watch,Apple,,,50,2022,Apple Watch Series 8 45mm GPS Cellular,watch-series-8-45mm-gps-cellular,apple-watch.webp
11958,watch,Apple,,,85,2022,Apple Watch Series 9 41mm GPS Only,watch-series-9-41mm-gps-only,apple-watch-series-9-41mm-gps-only.webp
11959,watch,Apple,,,90,2022,Apple Watch Series 9 41mm GPS Cellular,watch-series-9-41mm-gps-cellular,apple-watch-series-9-41mm-gps-cellular.webp
11960,watch,Apple,,,100,2022,Apple Watch Series 9 45mm GPS Only,watch-series-9-45mm-gps-only,apple-watch-series-9-45mm-gps-only.webp
11961,watch,Apple,,,110,2022,Apple Watch Series 9 45mm GPS Cellular,watch-series-9-45mm-gps-cellular,apple-watch-series-9-45mm-gps-cellular.webp
12048,watch,Samsung,,,45,2018,Samsung Galaxy Watch 6 47mm,galaxy-watch-6-47mm,samsung-galaxy-watch-6-47mm.webp
12604,watch,Samsung,,,30,2022,Samsung Galaxy Watch 6 44mm,galaxy-watch-6-44mm,samsung-galaxy-watch-6-44mm.webp
12605,watch,Samsung,,,30,2022,Samsung Galaxy Watch 6 43mm,galaxy-watch-6-43mm,samsung-galaxy-watch-6-43mm.webp
12606,watch,Samsung,,,30,2022,Samsung Galaxy Watch 6 40mm,galaxy-watch-6-40mm,samsung-galaxy-watch-6-40mm.webp
