id,title,url,images,type,brand,display,year,price,time_changed
11853,Apple Watch Series 6 40mm GPS Cellular,watch-series-6-40mm-gps-cellular,apple-watch-series-6-40mm-gps-cellular.webp,watch,Apple,1,2020,20,2024-11-24 19:20:52
11854,Apple Watch Series 6 40mm GPS Only,watch-series-6-40mm-gps-only,apple-watch-series-6-40mm-gps-only.webp,watch,Apple,1,2020,20,2024-11-24 19:21:20
11855,Apple Watch Series 6 44mm GPS Cellular,watch-series-6-44mm-gps-cellular,apple-watch-series-6-44mm-gps-cellular.webp,watch,Apple,1,2020,25,2024-11-24 19:21:27
11856,Apple Watch Series 6 44mm GPS Only,watch-series-6-44mm-gps-only,apple-watch-series-6-44mm-gps-only.webp,watch,Apple,1,2020,25,2024-11-24 19:21:35
11867,Apple Watch Series 7 41mm GPS Only,watch-series-7-41mm-gps-only,apple-watch.webp,watch,Apple,1,2021,25,2024-11-24 19:27:31
11868,Apple Watch Series 7 41mm GPS Cellular,watch-series-7-41mm-gps-cellular,apple-watch.webp,watch,Apple,1,2021,25,2024-11-24 19:26:54
11886,Apple Watch Series 7 45mm GPS Cellular,watch-series-7-45mm-gps-cellular,apple-watch.webp,watch,Apple,1,2021,30,2024-11-24 19:31:23
11892,Apple Watch Series 7 45mm GPS Only,watch-series-7-45mm-gps-only,apple-watch.webp,watch,Apple,1,2021,30,2024-11-24 19:31:48
11912,Apple Watch Ultra 2nd Gen 49mm,watch-ultra-2nd-gen-49mm,apple-watch-ultra-2nd-gen-49mm.webp,watch,Apple,1,2022,200,2024-11-24 20:01:21
11913,Apple Watch Ultra 1st Gen 49mm,watch-ultra-1st-gen-49mm,apple-watch-ultra-1st-gen-49mm.webp,watch,Apple,1,2022,150,2024-11-24 19:59:37
11954,Apple Watch Series 8 41mm GPS Only,watch-series-8-41mm-gps-only,apple-watch-series-8-41mm-gps-only.webp,watch,Apple,1,2022,45,2024-11-24 19:36:57
11955,Apple Watch Series 8 41mm GPS Cellular,watch-series-8-41mm-gps-cellular,apple-watch.webp,watch,Apple,1,2022,45,2024-11-24 19:36:38
11956,Apple Watch Series 8 45mm GPS Only,watch-series-8-45mm-gps-only,apple-watch-series-8-45mm-gps-only.webp,watch,Apple,1,2022,50,2024-11-24 19:48:10
11957,Apple Watch Series 8 45mm GPS Cellular,watch-series-8-45mm-gps-cellular,apple-watch.webp,watch,Apple,1,2022,50,2024-11-24 19:47:55
11958,Apple Watch Series 9 41mm GPS Only,watch-series-9-41mm-gps-only,apple-watch-series-9-41mm-gps-only.webp,watch,Apple,1,2022,85,2024-11-24 19:54:28
11959,Apple Watch Series 9 41mm GPS Cellular,watch-series-9-41mm-gps-cellular,apple-watch-series-9-41mm-gps-cellular.webp,watch,Apple,1,2022,90,2024-11-24 19:55:29
11960,Apple Watch Series 9 45mm GPS Only,watch-series-9-45mm-gps-only,apple-watch-series-9-45mm-gps-only.webp,watch,Apple,1,2022,100,2024-11-24 19:57:10
11961,Apple Watch Series 9 45mm GPS Cellular,watch-series-9-45mm-gps-cellular,apple-watch-series-9-45mm-gps-cellular.webp,watch,Apple,1,2022,110,2024-11-24 19:56:57
12048,Samsung Galaxy Watch 6 47mm,galaxy-watch-6-47mm,samsung-galaxy-watch-6-47mm.webp,watch,Samsung,1,2018,45,2024-11-24 20:19:16
12604,Samsung Galaxy Watch 6 44mm,galaxy-watch-6-44mm,samsung-galaxy-watch-6-44mm.webp,watch,Samsung,1,2022,30,2024-11-24 20:17:57
12605,Samsung Galaxy Watch 6 43mm,galaxy-watch-6-43mm,samsung-galaxy-watch-6-43mm.webp,watch,Samsung,1,2022,30,2024-11-24 20:17:20
12606,Samsung Galaxy Watch 6 40mm,galaxy-watch-6-40mm,samsung-galaxy-watch-6-40mm.webp,watch,Samsung,1,2022,30,2024-11-24 20:16:25
